Unnamed: 0,daily_screen_time,app_sessions,notifications_number,night_usage,age,productivity_hours,stress_level,apps_installed,addicted
0,6.561167018829896,29,49,0.248357077,44,5.10242865,32.450712295168486,35,not addicted
1,9.442024128819735,29,65,0.930867849,29,4.539708387,62.92603548243223,21,addicted
2,10.556475554594615,28,56,3.323844269,28,7.758144225,74.71532807151038,39,addicted
3,11.797676465747267,39,67,1.761514928,28,5.214881673,87.84544784612038,24,addicted
4,9.30605704606776,37,60,1.882923313,27,4.616141915,61.48769937914996,26,addicted
5,5.524847762983574,29,51,0.882931522,42,6.019457914,21.487945645762288,22,not addicted
6,11.87734177865656,32,70,2.789606408,41,1.755266502,88.68819223261087,30,addicted
7,10.726271128426863,37,61,1.383717365,21,7.083501461,76.51152093729364,33,addicted
8,8.972380744697658,29,82,0.765262807,15,7.366674004,57.95788421097572,29,addicted
9,6.62617475919796,22,50,0.271280022,32,6.683373368,33.13840065378947,28,not addicted
10,5.199736343801898,14,46,0.768291154,50,11.15657151,18.048734607813067,29,not addicted
11,5.196457929017635,29,67,0.767135123,35,3.554651957,18.014053696446148,31,not addicted
12,9.981171040607792,30,68,0.120981136,15,9.027815062,68.62943407349051,26,addicted
13,6.925118596899504,43,67,2.043359878,44,7.908396618,36.30079633013303,29,addicted
14,3.4184857211603594,27,40,0.137541084,27,6.673839043,0.0,26,not addicted
15,8.840775214798601,31,75,0.718856235,42,8.454381739,56.56568706138542,24,addicted
16,4.420688865318386,24,57,0.0,50,5.39784351,9.80753319498364,20,not addicted
17,10.083668525572527,35,53,1.157123666,31,6.349725045,69.71370998892911,24,addicted
18,4.569301294317999,33,43,0.545987962,34,7.579377417,11.379638867181836,28,not addicted
19,7.635484403965959,35,71,1.293848149,26,5.771685607,43.81544447997064,32,addicted
20,7.935079689193515,28,57,0.732824384,45,5.322456967,46.98473153382331,33,not addicted
21,9.317935420774916,36,71,0.88711185,29,4.03450175,61.61335549270197,34,addicted
22,9.733830125450446,32,71,1.033764102,33,7.591209207,66.01292307031885,33,addicted
23,7.617838594672421,37,67,1.287625907,33,8.472489622,43.62877720679815,41,addicted
24,5.084930988414746,21,48,0.0,45,7.639860712,16.83425913212226,22,not addicted
25,6.014129160716885,18,46,1.055461295,27,6.242656962,26.663838845647987,22,not addicted
26,8.006012285045987,29,72,1.424503211,34,6.068062317,47.73509633866546,23,addicted
27,6.389570712943729,34,62,0.187849009,54,11.18095392,30.63547027518508,23,not addicted
28,8.786394718206555,43,82,0.0,43,2.388818596,55.99041965121792,31,addicted
29,9.224466968607485,25,89,0.0,42,4.078123521,60.62459375310085,20,addicted
30,5.003647881858244,28,44,0.0,24,3.590473678,15.974400816559047,22,not addicted
31,8.48330559018656,25,53,0.926139092,46,8.719097793,52.78417276763406,21,not addicted
32,9.61893912838843,31,70,0.993251388,30,6.167137733,64.797541628931,21,addicted
33,4.357050992652839,13,46,0.0,54,8.299297546,9.134336065661495,21,not addicted
34,10.804415285295807,35,70,4.411272456,15,6.36928302,77.33817368154783,37,addicted
35,7.9069675217310325,33,77,1.389578175,19,8.70432531,46.687345250434674,36,addicted
36,9.934238368007296,40,73,0.104431798,29,6.693982792,68.13295392507132,31,addicted
37,3.1158767410500094,23,48,0.0,42,7.6835962,0.0,26,not addicted
38,7.754760056405796,31,67,1.335906976,33,4.70311618,45.07720926652354,23,addicted
39,6.135986913441685,24,40,1.098430618,36,9.221151078,27.95291853803685,31,not addicted
40,6.903962824729207,23,52,1.36923329,33,7.105477423,36.07699869993115,24,not addicted
41,9.88107142992552,32,63,0.085684141,28,5.625995257,67.57052421784955,30,addicted
42,5.69286022595139,25,40,0.942175859,25,5.107530734,23.265275764176398,27,not addicted
43,9.211124021060472,30,60,0.849448152,25,7.581641066,60.48344456616067,29,addicted
44,7.541589372436326,36,69,1.260739005,15,5.98763229,42.8221701444886,32,addicted
45,4.836133234788555,26,42,1.640077896,22,8.88582878,14.202336874079371,28,not addicted
46,5.203676749976522,26,58,0.0,33,6.187873441,18.090418435603187,28,not addicted
47,11.137037052287454,41,80,2.528561113,44,2.731417869,80.85683339328372,27,addicted
48,10.125315432663626,33,76,0.171809145,15,6.258097072,70.15427434352692,38,addicted
49,3.3693438909791866,24,58,0.118479922,46,9.838982918,0.0,19,not addicted
50,10.097616504838324,32,69,0.162041985,28,7.053642933,69.86125954092192,32,addicted
51,9.092045561236164,40,68,2.80745886,22,4.853284299,59.22376579375525,23,addicted
52,8.678227866741844,45,75,0.661539,43,3.80028761,54.84616999541062,24,addicted
53,6.724178983140828,21,55,2.305838144,54,9.243360265,34.17514433261302,25,not addicted
54,11.099996045557171,39,65,1.515499761,20,6.34772555,80.46499283743927,31,addicted
55,7.177365136986178,23,46,0.46564006,37,3.642458392,38.96920178674298,20,not addicted
56,4.666866385351753,25,46,0.580391238,49,4.763058565,12.411737151660422,22,not addicted
57,5.41839365599984,22,50,0.845393812,28,4.01103385,20.36181436223178,22,not addicted
58,6.326564147795078,17,60,1.165631716,40,1.977834762,29.968951471053455,20,not addicted
59,7.2401312456118605,31,58,0.487772564,31,8.340953982,39.63317690683539,27,not addicted
60,8.95862672123577,40,70,0.760412881,32,8.30490626,57.81238643232065,23,addicted
61,9.374820269965003,38,71,0.907170512,20,3.18885588,62.21511535004274,34,addicted
62,8.069336497089662,37,65,0.0,41,6.876687599,48.40497538990958,28,addicted
63,7.941901893436835,46,71,0.0,40,3.671478166,47.056900638789934,30,addicted
64,10.790208594699086,37,53,2.406262911,39,6.884644514,77.18788733591298,26,addicted
65,7.779942229814827,22,57,1.678120014,35,8.236476782,45.34360042856235,27,not addicted
66,5.754737488937829,20,70,1.963994939,49,5.841698279,23.91984817629499,30,not addicted
67,7.279816846935484,23,45,2.501766449,23,4.027404909,40.052993468380365,27,not addicted
68,6.369631337834717,21,61,1.180818013,47,5.574507348,30.42454037571451,25,not addicted
69,8.72332224937296,33,56,0.0,45,4.084842545,55.323203680923136,15,addicted
70,10.150522994880829,30,56,0.180697803,43,9.100197392,70.42093408262622,23,addicted
71,8.037722850654466,21,52,0.769018283,51,7.722425144,48.07054849698954,21,not addicted
72,5.806045150523264,23,52,0.0,33,8.289788924,24.462609413350727,23,not addicted
73,11.856683260764216,30,63,0.782321828,44,4.779314009,88.46965483721009,37,addicted
74,5.923378122772364,40,64,0.690127448,28,4.903176037,25.703823438653835,22,addicted
75,10.80350437541345,43,57,2.410951252,28,5.230614131,77.32853756562835,30,addicted
76,9.761507136367833,37,65,1.043523534,23,4.742282568,66.30570602357257,24,addicted
77,9.214096559226856,47,71,0.0,40,7.878188994,60.51488974301199,33,addicted
78,5.986958433739952,22,47,1.045880388,48,6.773199344,26.376411648032537,28,not addicted
